,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,place,hashtags,followers,friends,ijoy
30018,2020-05-03T18:22:56+00:00,Ok I downloaded this ASMR app when I saw this joke circulating and it has been a total joy. https://t.co/g68t9reQHS,1257012785810223104,Brad Romance,1,0,1,0,Chicago,,487,588,1
32574,2020-05-03T14:48:28+00:00,"Have Balance In The Joy Of Life That God Gives You!
@simongordon1",1256958810339581953,Triedstone Church of Chicago,0,0,0,0,Triedstone Full Gospel Baptist Church,,383,19,1
33220,2020-05-03T13:35:34+00:00,"May the God of hope fill you with all joy and peace as you trust in him, so that you may overflow with ho…
https://t.co/OtxhB5U9cD https://t.co/jgJ1upjOUf",1256940465741586432,Diane Atkins Stone,0,0,0,0,Chicago,,65,134,1
33520,2020-05-03T12:38:56+00:00,Happy Sunday everyone. Wishing you a restorative and joy filled day! ☀️,1256926214327078914,Damon,1,0,12,0,Chicago,,2558,4132,1
34033,2020-05-03T09:27:42+00:00,@_TyRenaee Chari’ Joy is a greattttttttt artist,1256878086915862529,buenos noches💤,0,0,0,0,Chicago,,325,473,1
34799,2020-05-03T05:51:53+00:00,"@jeffbrutlag It was amazing and a joy to watch. And, Omgosh...Luna-P!",1256823775187828736,Charlie K. Perkins,0,0,0,0,Chicago,,496,975,1
34826,2020-05-03T05:47:17+00:00,ok but remember mfs would make posts of random kpop idols body parts and u had to guess who it was ???  and u felt such pride n joy cuz u guessed ur fav based on a pic of a ankle or a wrist ?? nope ? is that just me ??,1256822617476141056,big shirt little pants,0,0,1,0,Chicago,,106,94,1
35148,2020-05-03T05:04:02+00:00,"@heydebigale @jerichobreeze I also had trouble getting past the first few episodes. The family was so annoying and unsympathetic in the beginning. But, how those characters developed, and the world they created, was just a joy to watch. Really a wholesome, sweet, fun, treasure of a show.",1256811732489719808,Dan Shaye 🐜 🇻🇪🇺🇸,1,0,3,0,Oak Park,,753,863,1
36362,2020-05-03T02:55:06+00:00,"Regardless of the epidemic situation, spring is at its best in Chicago town to bring joy to our hearts :) #Spring #Colors #StateStreet #Chicago #Downtown #ChicagoLoop #CityLife #PrettyTown #Weekend #Stroll #LongWalk… https://t.co/zS2mL1bOG6",1256779285353975808,Ahsan ツ,0,0,0,0,Chicago,"['Spring', 'Colors', 'StateStreet', 'Chicago', 'Downtown', 'ChicagoLoop', 'CityLife', 'PrettyTown', 'Weekend', 'Stroll', 'LongWalk']",456,547,1
38448,2020-05-04T23:48:21+00:00,@crissles laughs be hella therapeutic. Like... it’s brings me joy that she feels joy,1257457063741063169,smoked paprika,0,0,0,0,Chicago,,171,448,1
39706,2020-05-04T21:53:03+00:00,Crying tears of joy because @_kenharv_ sent me a @megstalter cameo,1257428050695933953,Patty Cake,2,0,2,0,Chicago,,79,674,1
40958,2020-05-04T20:00:30+00:00,@wojespn Pod with @JeffPassan and @AdamSchefter was a joy to listen to for 67 minutes. Don’t know how these guys found the time to have that much fun with each other. Awesome pod,1257399725101383680,Ray Lewis,0,0,0,0,Chicago,,578,891,1
41186,2020-05-04T19:41:44+00:00,I cross-bred a purple tulip in ACNH today and that is what brings me joy for this new week 🙃,1257395001727877120,line + shade,0,0,3,0,Chicago,,62,337,1
41388,2020-05-04T19:23:01+00:00,"@PhilCmusic @tommychap01 @neworder @slicingeyeballs #80sDance #90sDance #newwave #joydivision May 5th will be 3+ hours of New Order &amp; Joy Division videos  to ""cheer you up"" while the world is in lockdown

8:00 - 11:00ish

https://t.co/sVeAYRfsmB

https://t.co/3wse45O97C https://t.co/lOLqoRGRQr",1257390290618515459,Neo Nightclub,0,0,0,0,Debonair Social Club,"['80sDance', '90sDance', 'newwave', 'joydivision']",2250,833,1
42153,2020-05-04T18:17:04+00:00,@mazkeraide Tumblr really did take all of the joy out of that word.,1257373696790052864,Patty Cake,1,0,0,0,Chicago,,79,674,1
44152,2020-05-04T15:28:32+00:00,"It was a bad time for me personally, but their stanley cup run brought me a lot of joy that I desperately needed. https://t.co/CkUYwGlkJn",1257331281840521221,RISPy Business,1,0,6,0,Chicago,,2318,1022,1
45145,2020-05-04T13:58:28+00:00,"Consider it pure joy, my brothers and sisters, whenever you face trials of many kinds, because yo…
https://t.co/j4mwlW190A https://t.co/NuYWWsOq4p",1257308617214062593,Diane Atkins Stone,0,0,0,0,Chicago,,65,134,1
45156,2020-05-04T13:56:55+00:00,"Consider it pure joy, my brothers and sisters, whenever you face trials of many kinds, b…
https://t.co/GuWtqBOl2s https://t.co/qN9B0cFH5U",1257308227286347778,Diane Atkins Stone,0,0,0,0,Chicago,,65,134,1
45161,2020-05-04T13:56:09+00:00,"Lord Jesus, may we always be attentive to Your voice and may we actively seek Your will for our lives. Draw us near to You that we may find joy and peace in Your presence.",1257308033845088257,brcampmin,0,0,2,0,Oak Lawn,,156,189,1
45534,2020-05-04T13:16:30+00:00,"@shilkpatel vibing, bringing joy to those around him",1257298056879489031,kat,1,0,2,0,Chicago,,423,289,1
48288,2020-05-04T03:14:05+00:00,@jillianickes actually me a month ago rewatching that whole game. jordan poole game winner and that 2018 title game run provided some joy as well. Never michigan football.,1257146450552774656,Danny Zorn,0,0,1,0,Chicago,,550,497,1
48644,2020-05-04T02:50:35+00:00,"I hope that one day you don’t have to pretend to be happy anymore. I hope you find your purpose and no longer feel like you’re alone, slowly drowning in the middle of the ocean. I hope that you find someone who brings light, joy, and life into your dark days.",1257140536303128576,NocturnalDispatch🌙🏳️‍🌈,0,0,8,1,Elmhurst,,331,977,1
48881,2020-05-04T02:35:16+00:00,"@fridahalo that’s completely within your right as a person who is alive , the purpose is joy!!!!",1257136684887691269,łem,0,0,0,0,Chicago,,822,518,1
55799,2020-05-05T17:45:33+00:00,"@RenaeAdamski Fry Volleyball Team @ the joy of being #successful together. @harryefryschool 
Hooray for TEAM work! https://t.co/klBIUINWUi",1257728152920559616,HarryEFrySchool,0,1,4,0,Palos Heights,['successful'],264,79,1
56865,2020-05-05T16:24:31+00:00,Cinco de Mayo and Taco Tuesday on the same day.....you have to find the joy in the small things these days. https://t.co/pSgEQVr8bV,1257707760294285313,UIC Coach Tim🔥,0,1,8,0,Elmhurst,,1013,2218,1
58151,2020-05-05T14:42:18+00:00,Let’s share some joy today. Happy giving Tuesday. A movement to spread kindness. A day of giving. Plus Teachers Week. Nurses Week. There are so many ways to share a little love today. Flowers make everyone smile.… https://t.co/lv8Gn7fY4D,1257682033805086726,Debi Lilly,0,0,0,0,Chicago,,5063,4741,1
58448,2020-05-05T14:16:32+00:00,One Day I’m Gonna Look In The Mirror And Cry Tears Of Joy Just Because I Did It,1257675552196038656,Apply Pressure💖‼️,0,0,0,0,Chicago,,383,387,1
58505,2020-05-05T14:11:33+00:00,"And to experience this, live in this understanding is pure Joy! 💗

#IAm
#JoyTrain
#PureEsperanza 🌈💜🌎💫 https://t.co/tVyeek76qp",1257674296165642240,"PureEsperanza, NFP",0,2,1,0,Chicago,"['IAm', 'JoyTrain', 'PureEsperanza']",2785,2462,1
58748,2020-05-05T13:45:28+00:00,"@DVoiceOfWoman A lifetime of styling adventures. Create  your style by what you feel joy wearing: comfort, color, design, fabric, fit, fun or any mood you want to din for the day or hour(or season).☺️",1257667733149360128,Esperanza Smith,0,0,0,0,Chicago,,590,578,1
64628,2020-05-06T23:33:09+00:00,"@memehayita @MichelleObama I was the same way smiling with tears of joy in my eyes.. She’s so impactful, I hope she truly knows what she did for us!!",1258178017651822593,Niiiiiiitttttaaaaaa,1,0,1,0,Chicago,,433,519,1
66234,2020-05-06T21:02:05+00:00,"Besides keeping the business a float and  continuing to serve our lovely clients, another joy of mine is gardening and sustainability. At the onset of the stay-at-home order we got this amazing airoponic garden… https://t.co/dlJX3mhpeX",1258139996915195904,Holistic Holism,0,0,1,0,Chicago,,87,210,1
67151,2020-05-06T19:41:56+00:00,I literally just finished watching #becomingnetflix ... awesomeness!!! I’m so full with joy.. a back woman from south side #Chicago make me have hope ..,1258119826863685640,MannyElii,0,0,0,0,Chicago,"['becomingnetflix', 'Chicago']",177,153,1
67653,2020-05-06T18:56:59+00:00,@Meilander whatever brings you joy!!! 💞,1258108516243472384,lucy lookin 4ward to live music! 🔊,0,0,0,0,Chicago,,2497,4912,1
67965,2020-05-06T18:31:31+00:00,"Love me some #danieljohnston and this song that most of us heard in #apple ad. #thestoryofanartist is a quirky, gravel voiced song that speaks of joy and pain. Daniel died last year but his music lives on. #SongOfTheDay #Chicago #WFH https://t.co/9RmzYVquyU",1258102107372224518,TMcCarey,0,0,0,0,Evanston,"['danieljohnston', 'apple', 'thestoryofanartist', 'SongOfTheDay', 'Chicago', 'WFH']",453,2123,1
72502,2020-05-06T09:55:22+00:00,@katchicago @taylormundo My books are grouped by color and I can assure you that I read. I just like the way it looks. It’s cheerful. And this isn’t a reference library. I don’t need a card catalog and a system — I need joy.,1257972213900345344,Jennifer Smith Richards,0,0,1,0,Chicago,,3914,3022,1
73829,2020-05-06T04:21:17+00:00,"@ParadigmRuth @KLGLASS2 I'm always grateful to God for all that He gives to me! For without Him I am nothing. And without Him I have nothing! 
It's a privilege and a joy to serve Him.😁🙌🙏🏻❤☝️!!!!!",1257888137243697157,womanofgod3,0,0,0,0,Evanston,,1892,4998,1
76417,2020-05-06T00:50:27+00:00,"“And there used to be a ballpark where the field was warm and green
And the people played their crazy game with a joy I'd never seen
And the air was such a wonder from the hot dogs and the beer...” @MLBcathedrals @StadiumSites @whitesox @SportsBandbox @FootballHistory https://t.co/ifoooMpnZF",1257835079864369152,📷🏈📸,0,1,11,0,Old Comiskey Park Homeplate,,616,205,1
76474,2020-05-06T00:46:16+00:00,@AustinMcbroom @CatherinePaiz I hope I do get a chance to win the five away 😢 I would honestly cry of joy and it will help me for a little while until I find this job 😭💖🙏🏼 but I know god is old and he will help me to what I’m going through 😔💯🙏🏼 Amen https://t.co/bISg0IbECY,1257834028994002944,gloria nicole,0,0,0,0,Chicago,,18,62,1
76580,2020-05-06T00:38:56+00:00,So glad to have known and served as a @MeritMusic trustee with Jules. His generous gift made the Joy Faith Knapp Center where @MeritMusic #MusicEducation is housed in the west loop. https://t.co/OZKVMMIEjs,1257832185123438595,Jennifer Montague,1,0,1,0,Chicago,['MusicEducation'],538,1106,1
78085,2020-05-07T22:39:16+00:00,@JamilahLemieux The joy I needed this Thursday. https://t.co/NiLjI2jnY9,1258526842207694849,Appreccia D.,0,0,0,0,Chicago,,597,2978,1
79216,2020-05-07T21:05:30+00:00,"someone plz buy me a joy despret 

Watch @JunoBirch’s newest Sims 2 masterpiece here: https://t.co/9NEffXhH17 https://t.co/28QoJoQRvW",1258503247196827655,Darbelonely 🇪🇸,4,8,91,0,Chicago,,14503,1384,1
79335,2020-05-07T20:55:18+00:00,"Natalie Rast is a master of her art.  What she offers the world is real.  Her approach to ballet is joy, practical and funny.  Anyone can be a ballet dancer with Natalie.  I never felt deficient as her student.  She pushed me to be my best.",1258500679196344320,Danceyogamom (she/hers),1,0,0,0,Chicago,,20,183,1
79659,2020-05-07T20:30:08+00:00,"In celebration of #NursesWeek and Mother's Day, local Chicago singer and Chicago policeman, Jesus Ramos, serenaded Mount Sinai Hospital this morning.

It was a beautiful 💕 heartfelt serenata that brought joy to our #nurseheroes! Thank you Jesus! https://t.co/6ddcF3vOT4",1258494345499607041,Sinai Chicago,0,0,2,0,Chicago,"['NursesWeek', 'nurseheroes']",3447,2506,1
80476,2020-05-07T19:12:51+00:00,@McauleyHolmes Yes. Just drove by a freshly defaced Target and it brought a feeling of joy to my heart...,1258474897489174529,Alice Fitzsimons,1,0,17,0,Chicago,,430,778,1
80751,2020-05-07T18:48:21+00:00,Studio McGee refresh. Love keeping up with the momentum here within the home flat to bring joy to our guests while they shop for new decor staples. @T1888SSL_Jenn #HomeDecorRefresh / #StudioMcgee / #FauxGreenery https://t.co/XL29ppDlFy,1258468733099573250,Raulito,0,0,7,0,Norridge,"['HomeDecorRefresh', 'StudioMcgee', 'FauxGreenery']",167,553,1
81223,2020-05-07T18:10:41+00:00,"Hearth &amp; Hand refresh is here with its summer &amp; outdoor assortments. Here at 1888, we ready to give joy to our guests for some outdoor summer changes. @T1888SSL_Jenn #OutdoorDecor / #SummerReady / #GreeneryDecor https://t.co/HIVgUDq4Fm",1258459253133774851,Raulito,0,2,11,0,Norridge,"['OutdoorDecor', 'SummerReady', 'GreeneryDecor']",167,553,1
81614,2020-05-07T17:34:02+00:00,"i now release the need for those things in my life that are not serving my higher good. i am not afraid to let go. in their place, i receive love, joy and abundance",1258450027715969027,jackie,0,0,0,0,Chicago,,1191,1967,1
82126,2020-05-07T16:54:54+00:00,Hearing Stacey King hell out “SRIRACHA!” brings me joy.,1258440181235023875,Thelonious Martin,2,1,6,0,Chicago,,27414,3002,1
84080,2020-05-07T14:24:16+00:00,"@sampatchley @sth85 We did that one on first grade, but reading is so important and the joy of it...like math, if we can find a way to make it more “fun” for the average kid, that is a home run.",1258402272591085568,Noah Pinzur,0,0,1,0,Chicago,,94,255,1
84123,2020-05-07T14:20:25+00:00,@HyapatiaLee You don’t stop fighting. You have to much love and joy to give. Daddy G says so,1258401303727833088,Daddy G,1,0,1,0,Chicago,,165,2131,1
84194,2020-05-07T14:13:14+00:00,"Anyone who’s worked with @JWhitePubRadio knows she’s sharp as hell, smooth as butter, full of grace, kindness, humor, patience, thoughtfulness, wisdom, joy, and fun as hell. I love when we get laughing. @1a team-I’m envious; it’s gonna be great. Jenn is a star 🌟 https://t.co/kf7XzoEPjc",1258399495362097152,Carrie Shepherd,2,2,22,0,Chicago,,2023,1263,1
84444,2020-05-07T13:49:24+00:00,Started watching #RailsConf with real keynote by @tenderlove. The talk highlights the joy of being Rails developer and is a great beginning to the start of the day https://t.co/VJMWj2FL1r,1258393497264152577,Pranav Moktali,0,0,1,0,Chicago,['RailsConf'],309,712,1
84557,2020-05-07T13:37:01+00:00,"@inPeace01 Listen to all that resonates deep in the #Joy of your soul. ✨

#PureEsperanza",1258390380040663041,"PureEsperanza, NFP",0,0,0,0,Chicago,"['Joy', 'PureEsperanza']",2785,2462,1
84858,2020-05-07T13:00:19+00:00,"Lord Jesus, may we trust in Your unwavering love and saving grace. Give us Your peace when we are faced with trials and adversity. Let us know the joy of Your presence.",1258381144820715523,brcampmin,0,1,4,0,Oak Lawn,,156,189,1
86788,2020-05-07T04:38:34+00:00,"Save the cap 🧢 for #newera str8 🔥 for #2020🖕🏾this #corona 🇺🇸 let’s be productive!!! #covid #mask #music #chicago #power #trap #hiphop #hate #love #joy #applemusic #spotify @ Chicago, Illinois https://t.co/qOzbYu0Njh",1258254875852496903,Raww Wurrk,0,0,1,0,Chicago,"['newera', 'corona', 'covid', 'mask', 'music', 'chicago', 'power', 'trap', 'hiphop', 'hate', 'love', 'joy', 'applemusic', 'spotify']",410,309,1
86985,2020-05-07T04:18:51+00:00,@CoopOfficial He look slightly brown to me coop ! Almond joy lmao https://t.co/OG5ZTK3HTh,1258249913755934721,Terryroxx,1,0,0,0,Chicago,,1363,1180,1
87124,2020-05-07T04:06:34+00:00,"It's the day of Qiyamah,
To the believers I bring you tidings of joy,
But if you want beef,
I'll filet mignon ya'...",1258246822818205696,C.W. Harris,0,0,0,0,Chicago,,6515,6070,1
87964,2020-05-07T02:54:29+00:00,"I’m trying to bring a little joy to my workspace. 
#supportlocalartists #kittensofindustry #miamorettini #instaxwide #curratingfromhome @ Logan Square, Chicago https://t.co/LLUyUmpAX6",1258228684575604736,Amy Shelton,0,0,0,0,Chicago,"['supportlocalartists', 'kittensofindustry', 'miamorettini', 'instaxwide', 'curratingfromhome']",244,482,1
88440,2020-05-07T02:15:14+00:00,"Should we tell him about the racism and wife beating or just let him have his moment of joy?

#TwilightZoneWatchParty",1258218803747586048,Friendly Gayborhood Daddyman,2,1,6,0,Chicago,['TwilightZoneWatchParty'],3216,1606,1
89684,2020-05-07T00:44:55+00:00,"1) This is dope!

2) As @NotAtomMiranda said... @Nintendo @NintendoAmerica @NintendoUK @NintendoEurope and I beg of you... please make joy-cons with the clear shells!! https://t.co/jGkRx4bAGl",1258196077842497537,Macho Moon Paddy Ravage,0,0,1,0,Chicago,,251,1056,1
92901,2020-05-08T20:33:22+00:00,"✝️Then the angel said to them, “Do not be afraid, for behold, I bring you good tidings of great joy which will be to all people.",1258857546699411457,Roberto Huizar,0,0,0,0,Chicago,,1,14,1
93322,2020-05-08T20:02:23+00:00,"Mask by Joy Elondra(Joyously Creative) check out her Facebook page! @ Beverly, Chicago https://t.co/4BiKShVhIM",1258849749454786566,Linda Rivers,0,0,0,0,Chicago,,51,749,1
93963,2020-05-08T19:17:17+00:00,Sitting on my balcony. A U-Haul pulled up and the driver took out an enormous bouquet. It made me happy to think of the joy being delivered to a neighbor #IsolationStories,1258838402331525120,Fernanda Valentino,1,0,5,0,Chicago,['IsolationStories'],196,457,1
94832,2020-05-08T18:12:42+00:00,I thought putting pics up was going to bring me happiness n joy n i thought I was okay but I’m not okay. I miss my dad!,1258822147239301121,nini,0,0,1,0,Chicago,,59,365,1
95771,2020-05-08T16:58:58+00:00,"It’s #ForeverFriday and we have so many new families to celebrate with Lamar, Mork (Albert), Ramona, Jax, Frankie, Oreo, Mindy &amp; Joy all now enjoying the good life!

Thank you to the fosters who make this possible by opening their homes for these fur kids until adoption day! https://t.co/Dit2Hj2ZSR",1258803590447144960,ALIVE Rescue,0,2,8,0,Chicago,['ForeverFriday'],2067,1296,1
96231,2020-05-08T16:22:32+00:00,"The world is mad, but this brought me a lot of joy last night. All dates are in my calendar already and GAH I hope stadiums are open by the fall 🤞🏼(but will not pitch a fit if they aren’t because I’m a rational human being and we have TV) #BearDown 🐻🏈 https://t.co/WsemaRHkyq",1258794424848592896,Sara Cutaia Mantzoros 🦕,0,0,0,0,Chicago,['BearDown'],651,393,1
96920,2020-05-08T15:30:14+00:00,Saw my family for the first time in two months last night to say goodbye to our beautiful baby Stella. So much joy over the last 14 years. Love to @theFucktardist https://t.co/hCA2o3l6OL,1258781262380183552,Eddie Tsikretsis,0,1,1,0,Chicago,,80,581,1
96971,2020-05-08T15:27:15+00:00,My pleasure Bernard! I can feel the inspiration from your efforts @Mayo! A joy to interact with wonderful colleagues and friends!! https://t.co/ULcXmtphVm,1258780512275107846,George Cybulski,0,1,5,0,River Forest,,7056,7558,1
97590,2020-05-08T14:35:34+00:00,"Happy, HAPPY birthday @MikeHannaUAL! 🎂🎈🎉👏🥳You are a joy to know and gift to everyone around you! Thank you for all that you do for @united! ✈️ https://t.co/Cv2jlWTstF",1258767503255166977,Texas⭐️Cheryl,6,4,73,3,Chicago,,2359,3155,1
98327,2020-05-08T13:28:25+00:00,"Lord Jesus, You fill us with a spirit of praise and hope that no earthly trial can subdue. Give us Your resurrection joy and help us to live a life of thanksgiving for Your peace and mercy.",1258750603938992128,brcampmin,0,3,11,0,Oak Lawn,,156,189,1
98508,2020-05-08T13:06:58+00:00,"@tenmillionboys @JunoBirch frozen, plz. There’s no way I’d be able to finish an entire joy despret in one sitting",1258745206758916102,Darbelonely 🇪🇸,0,0,2,0,Chicago,,14503,1384,1
98819,2020-05-08T12:18:12+00:00,"To him who is able to keep you from stumbling and to present you before his glorious presence without fault and with great joy— to the only God our Savior be glory, majesty, power and authority, through Jesus Christ our Lord, before all ages, now and forevermore! Amen. (Jude 1)",1258732936817520644,Ted Kim,0,0,2,0,Chicago,,1441,149,1
101300,2020-05-08T03:32:17+00:00,"Life is hard. There is no shortage of things to depress you. Find joy and happiness in silly little things. Tik Toks, T.V. sit coms, your kids, pets, online fb live shows, &amp; one of my favorite comedians: @ambermruffin @LateNightSeth she spoke with our @LoriLightfoot 😆WHAT? https://t.co/aYSTDXBzPy",1258600584514605058,Cathy |✶✶✶✶,0,0,0,0,Chicago,,1026,2696,1
101515,2020-05-08T03:17:25+00:00,"Link In Bio (BOOK GIVEAWAY) 

To join in my joy for reading and self developing. I have decided to raffle off a Brand New Copy of 50 Cent's newest book: Hustle Harder, Hustle Smarter. Entry ends on Sunday, 5/10 @… https://t.co/p0p9jvvpCJ",1258596844441153537,B Burrell,0,0,0,0,Chicago,,210,272,1
104069,2020-05-09T23:52:34+00:00,"@thereidfeed No need to explain...it brings you joy, and that is what matters :)",1259270066182467587,Your Mom,0,0,1,0,Chicago,,3752,2303,1
104330,2020-05-09T23:31:06+00:00,"@morningmika Good I'd love them to feel the pain.  I want them all suffer as our first responders have suffered.  I want them to be devastatingly sick.  That will be my joy.  I know how terrible it sounds, I dont care, I want them to all suffer, just like the is the shit ppl.",1259264664673845248,combpusher,0,0,0,0,Westchester,,42,498,1
