,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy,sentiment_score
251077,2021-11-27T21:03:58+00:00,I deprived myself the joy of a Christmas tree until the widely socially accepted time because anticipation = happiness https://t.co/dTjl0Lsr7G,1464701557971296264,Michelle Bruton,0,0,8,0,"[-87.940033, 41.644102]","Chicago, IL",,10560,3053,1,0.78
253601,2021-11-27T16:09:32+00:00,As always it's a joy and a privilege to spend an hour or so chatting with my pal @benrady. Join us as we chat about why you should lint your code https://t.co/o0wC8mVuXJ,1464627460016852993,matt godbolt,0,0,14,0,"[-87.733451, 42.0191507]","Evanston, IL",,12587,1918,1,0.82
256781,2021-11-27T02:08:37+00:00,"Day 26 of 30
Joy
Today I am grateful for the little things that bring me joy. 
#30daysofthanks #gratitude #sheleavesalittlesparkle #watchmommawork #forwardisapace #tutulady @ Chicago, Illinois https://t.co/u5QwSS2eH7",1464415835078987779,#tutulady (she/her) Kristine,0,0,0,0,"[-87.632496, 41.883222]","Chicago, IL","['30daysofthanks', 'gratitude', 'sheleavesalittlesparkle', 'watchmommawork', 'forwardisapace', 'tutulady']",231,526,1,0.89
257611,2021-11-27T00:23:46+00:00,#WhatCAHwants This is one of my prized possessions. My sister gave it to me when I was really down and it was amazing. Definitely brings me joy. You’d have to be devoid of all childhood joy not to smile when you see it. 😊 https://t.co/KEmTL1hdbm,1464389450625175552,kendall,0,0,1,0,"[-87.834577, 41.879203]","River Forest, IL",['WhatCAHwants'],66,238,1,0.95
257843,2021-11-28T23:52:42+00:00,"he had to watch my Packers beat his Rams and now my husband has to decorate the tree with me and create Christmas joy, pray for him",1465106407800332288,Michelle Bruton,3,0,30,0,"[-87.940033, 41.644102]","Chicago, IL",,10559,3053,1,0.8
258420,2021-11-28T22:54:23+00:00,My Pride N Joy‼️ BigMamma’s Big Boy 💙💙 @ Style' N Grace Boutique https://t.co/a097uCx0Q9,1465091733058990084,Terri A. Thomas,0,0,0,0,"[-87.62052, 41.68666]","Chicago, IL",,100,281,1,0.64
260257,2021-11-28T19:58:11+00:00,"I'm at Joy Yee Noodle in Chicago, IL https://t.co/s4W8YZ6xX4 https://t.co/5ykWABJG4m",1465047389207777281,N. Felipe,0,0,0,0,"[-87.68955, 41.94165]","Chicago, IL",,2097,5010,1,0.59
260264,2021-11-28T19:57:28+00:00,my heart knows only joy in this moment https://t.co/AaIBuxE5vc,1465047207774769156,"Christopher Nemeh, M.D.",0,0,16,0,"[-87.820078, 41.6457104]","Palos Heights, IL",,2903,2236,1,0.59
260512,2021-11-28T19:30:13+00:00,"Happy Hanukkah to all those celebrating! May this be a time of joy, for you and your family. 
 
We hope this festival of lights is a time for loved ones and friends to come together. 
 #Hanukkah https://t.co/4VEttbiJYl",1465040351740284928,Jan Schakowsky,1,7,41,0,"[-87.733451, 42.0191507]","Evanston, IL",['Hanukkah'],52977,1581,1,0.98
261304,2021-11-28T18:09:00+00:00,@junior_thirty4 I don’t want human beings crying tears of joy when Michigan beats Ohio state.,1465019913735753729,Justin 🌱.,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,990,996,1,0.03
262341,2021-11-28T16:10:34+00:00,May every candle you light bring you joy and peace.🕎 #HappyHanukkah #2021chicagoholidays #chicagoactors #Hanukkah2021 #actorslife https://t.co/ikGLixZVJd,1464990107879059459,William C. Thompson,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL","['HappyHanukkah', '2021chicagoholidays', 'chicagoactors', 'Hanukkah2021', 'actorslife']",75,82,1,0.59
262836,2021-11-28T14:58:07+00:00,Wishing those who celebrate Hanukkah a Festival Filled with Joy and Happy Moments! 🕎 https://t.co/eYyhsD1N1V,1464971873163350020,Senator Cristina Pacione-Zayas,0,0,4,0,"[-87.940033, 41.644102]","Chicago, IL",,896,167,1,0.95
263089,2021-11-28T14:07:47+00:00,"Putting a menorah in the window is our way of sharing our joy and solidarity with our neighbors and our communities. 

Check out &amp; download @jewishaction's new Hanukkah poster to put in your own window this year:  https://t.co/2glFzifjor",1464959207816450055,Scott J Hunter (שמואל דוד צייד),0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,1071,2523,1,0.83
263738,2021-11-28T08:01:44+00:00,"@jonnyboy823 Agreed. I'm just tired of folks wanting bad for Mariah.  Especially when she keeps to herself so much. And, she's literally trying to spread  joy and happiness every Xmas,  yet some are so angry/hurt at how successful she is during the season. Jealousy is a powerful feeling.",1464867087336321024,R. Lucretia,1,0,1,0,"[-87.805698, 41.8650062]","Oak Park, IL",,409,367,1,0.84
265804,2021-11-28T02:17:53+00:00,"@zo0o0o0ey Renewal :’) abundance :’) joy :’) 
(The Star)",1464780557976576002,fruityknuti,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,52,106,1,0.59
266162,2021-11-28T01:38:51+00:00,"Congrats to EVERYONE getting engaged and having their bundles of joy on the way, beyond happy for y’all! I love LOVE! 😭😭😭💕",1464770733100392452,"T, M.A",0,2,3,0,"[-87.940033, 41.644102]","Chicago, IL",,349,352,1,0.98
267317,2021-11-29T23:34:32+00:00,Ahhhhh! Such Hype! We love Luke! Go follow and share the partnered joy! 🥰 https://t.co/8UUJkabXHP,1465464224285659140,2Gays1Twitch,0,0,6,0,"[-87.940033, 41.644102]","Chicago, IL",,836,1197,1,0.91
267515,2021-11-29T23:12:44+00:00,"From the Beermiscuous family to yours, Happy Hanukkah!
May every candle you light bring you peace &amp; joy. https://t.co/nusHzW1bmR",1465458735703334914,Beermiscuous-Lakeview,0,1,14,0,"[-87.940033, 41.644102]","Chicago, IL",,4904,1248,1,0.91
268224,2021-11-29T21:41:45+00:00,Show me a picture of when you felt joy!,1465435839861829635,Tyler Hall,5,0,4,0,"[-87.940033, 41.644102]","Chicago, IL",,2838,579,1,0.62
268972,2021-11-29T20:06:34+00:00,"Walked my Uncles to the gym, then went and got a mani, picked up a beef patty from Aunty Joy’s Jamaican, reached over to remove a small piece of lint from my hair…it was snow ❄️🥺",1465411885734547457,MJ,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,139,295,1,0.1
272546,2021-11-29T11:05:46+00:00,"@CalanthaTXBlue @JLustwerk I do remember him vividly 
He was the one who broke the news 
 That President John Kennedy had been assassinated. Can you imagine what Donald Trump would have said. 
If he'd been able to do so at that time publicly?! He would have told people to dance in the street with joy!",1465275790833205256,womanofgod3,0,0,2,0,"[-87.733451, 42.0191507]","Evanston, IL",,1905,4929,1,0.38
272876,2021-11-29T06:37:53+00:00,@ayampiempi @jed_131 @TrackerNFT @GutterCatGang @3dFrankenPunks Thank you. She brings a lot of joy to my little bipolar brain!,1465208375260717059,bPolarArt,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,907,1098,1,0.76
275048,2021-11-29T02:01:24+00:00,"Avec Pleasure is grateful to have ART in her life &amp; to share the JOY of that experience with others ❤️ @anneavecpleasure.com.au @ Chicago, Illinois https://t.co/hjPYZfeUtZ",1465138793657389058,anne mcgravie-wright,0,0,0,0,"[-87.632496, 41.883222]","Chicago, IL",,150,919,1,0.93
276526,2021-11-30T23:01:43+00:00,If I was Santa I wouldn’t provide millions of people joy for $8.25/hr either. https://t.co/sidxLD1t7q,1465818353474412548,John Hartunian,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,112,226,1,0.59
277449,2021-11-30T21:03:53+00:00,"Back at the pond!! I love traveling and visiting dear friends, but there's a distinct and special joy in returning home. Walking familiar paths... 😊

https://t.co/n5treZf7Tt",1465788697102766088,Dave Robison,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,237,301,1,0.94
278051,2021-11-30T19:55:18+00:00,"Today is the day! For today’s @NAEducation “Giving Season Initiative”, we collected over 3,908 diapers as part of a school-wide initiative with @C2CChicago. Check out the “Kindness Calendar” for ideas to spread joy the rest of Dec. Tag 📸:@BISCLincolnPark

https://t.co/Scc4lOl5dc https://t.co/L5cjLxy6Gi",1465771438078636043,BISC Lincoln Park,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,1767,321,1,0.62
278145,2021-11-30T19:45:11+00:00,"@CodyAPCards1308 @CardPurchaser The joy of pulling it was worth the $160, right? https://t.co/hJFRgrGePs",1465768891699838979,Brendan,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,1957,288,1,0.69
278621,2021-11-30T18:53:57+00:00,"Lord, let me appreciate your sun rise every day. Help me to stay within your time. The perseverance, the joy, the hope. In Jesus. https://t.co/7eol7O1JAU",1465756001605497315,Catherine Skarr,0,0,0,0,"[-87.63446433955961, 41.94286016145862]",The Lake,,59,59,1,0.9
278972,2021-11-30T18:19:18+00:00,Just posted a photo @ Joy District https://t.co/LBmUamVMem,1465747279978151948,Jon Landan,0,2,3,0,"[-87.6318, 41.89026]","Chicago, IL",,1630,924,1,0.59
279550,2021-11-30T17:20:12+00:00,"@APKFitz @Teach_Golden @LMSAEagles And what a treat to come back and see the wonderful things you are doing @APKFitz and see the amazing faculty, staff, and students. It always brings me joy. 🙏",1465732408016257032,Alan Mather,0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",,2391,1435,1,0.93
280072,2021-11-30T16:21:28+00:00,"I can personally vouch for this cause. Our Summer STEM Camp helps kids see the joy and wonder in STEM and see themselves as curious, capable, and confident STEM learners. https://t.co/iEHBgxnuCN",1465717625963659265,Debbie Leslie,0,1,6,0,"[-87.940033, 41.644102]","Chicago, IL",,108,217,1,0.93
281672,2021-11-30T12:31:20+00:00,@MaddieBarry8 I’m so sorry for your loss. Find joy in the good memories and sustenance from your family and friends. Find peace.,1465659709474717699,Paul J DesHotels,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,2691,3030,1,0.88
281855,2021-11-30T10:33:27+00:00,Watching #GetBack and I’ve just been fascinated. It’s a tribute to the joy and mundanity of creating. Watching them build “Get Back” bit by bit is one of the most mesmerizing things I’ve seen in some time.,1465630044416585735,Phil Lueck,0,1,2,0,"[-87.940033, 41.644102]","Chicago, IL",['GetBack'],449,1639,1,0.84
283102,2021-11-30T04:04:10+00:00,@SHO_Dexter just fills my little murder heart with joy 💙,1465532077772783622,Jackie Platteuw,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,88,227,1,-0.15
