#,emoji,name,sentiment_score
826,⛩,shinto shrine,0.0
827,🕋,kaaba,0.0
828,⛲,fountain,0.0
829,⛺,tent,0.0
830,🌁,foggy,0.0
831,🌃,night with stars,0.0
832,🏙,cityscape,0.0
833,🌄,sunrise over mountains,0.0
834,🌅,sunrise,0.0
835,🌆,cityscape at dusk,0.0
836,🌇,sunset,0.0
837,🌉,bridge at night,0.0
838,♨,hot springs,0.0
839,🎠,carousel horse,0.0
840,🎡,ferris wheel,0.0
841,🎢,roller coaster,0.0
842,💈,barber pole,0.0
843,🎪,circus tent,0.0
844,🚂,locomotive,0.0
845,🚃,railway car,0.0
846,🚄,high-speed train,0.0
847,🚅,bullet train,0.0
848,🚆,train,0.0
849,🚇,metro,0.0
850,🚈,light rail,0.0
851,🚉,station,0.0
852,🚊,tram,0.0
853,🚝,monorail,0.0
854,🚞,mountain railway,0.0
855,🚋,tram car,0.0
856,🚌,bus,0.0
857,🚍,oncoming bus,0.0
858,🚎,trolleybus,0.0
859,🚐,minibus,0.0
860,🚑,ambulance,0.0
861,🚒,fire engine,-0.34
862,🚓,police car,0.0
863,🚔,oncoming police car,0.0
864,🚕,taxi,0.0
865,🚖,oncoming taxi,0.0
866,🚗,automobile,0.0
867,🚘,oncoming automobile,0.0
868,🚙,sport utility vehicle,0.0
869,🛻,pickup truck,0.0
870,🚚,delivery truck,0.0
871,🚛,articulated lorry,0.0
872,🚜,tractor,0.0
873,🏎,racing car,0.0
874,🏍,motorcycle,0.0
875,🛵,motor scooter,0.0
876,🦽,manual wheelchair,0.0
877,🦼,motorized wheelchair,0.0
878,🛺,auto rickshaw,0.0
879,🚲,bicycle,0.0
880,🛴,kick scooter,0.0
881,🛹,skateboard,0.0
882,🛼,roller skate,0.0
883,🚏,bus stop,-0.3
884,🛣,motorway,0.0
885,🛤,railway track,0.0
886,🛢,oil drum,0.0
887,⛽,fuel pump,0.0
888,🚨,police car light,0.0
889,🚥,horizontal traffic light,0.0
890,🚦,vertical traffic light,0.0
891,🛑,stop sign,-0.3
892,🚧,construction,0.0
893,⚓,anchor,0.0
894,⛵,sailboat,0.0
895,🛶,canoe,0.0
896,🚤,speedboat,0.0
897,🛳,passenger ship,0.0
898,⛴,ferry,0.0
899,🛥,motor boat,0.0
900,🚢,ship,0.0
901,✈,airplane,0.0
902,🛩,small airplane,0.0
903,🛫,airplane departure,0.0
904,🛬,airplane arrival,0.0
905,🪂,parachute,0.0
906,💺,seat,0.0
907,🚁,helicopter,0.0
908,🚟,suspension railway,0.0
909,🚠,mountain cableway,0.0
910,🚡,aerial tramway,0.0
911,🛰,satellite,0.0
912,🚀,rocket,0.0
913,🛸,flying saucer,0.0
914,🛎,bellhop bell,0.0
915,🧳,luggage,0.0
916,⌛,hourglass done,0.0
917,⏳,hourglass not done,0.0
918,⌚,watch,0.0
919,⏰,alarm clock,-0.34
920,⏱,stopwatch,0.0
921,⏲,timer clock,0.0
922,🕰,mantelpiece clock,0.0
923,🕛,twelve o’clock,0.0
924,🕧,twelve-thirty,0.0
925,🕐,one o’clock,0.0
926,🕜,one-thirty,0.0
927,🕑,two o’clock,0.0
928,🕝,two-thirty,0.0
929,🕒,three o’clock,0.0
930,🕞,three-thirty,0.0
931,🕓,four o’clock,0.0
932,🕟,four-thirty,0.0
933,🕔,five o’clock,0.0
934,🕠,five-thirty,0.0
935,🕕,six o’clock,0.0
936,🕡,six-thirty,0.0
937,🕖,seven o’clock,0.0
938,🕢,seven-thirty,0.0
939,🕗,eight o’clock,0.0
940,🕣,eight-thirty,0.0
941,🕘,nine o’clock,0.0
942,🕤,nine-thirty,0.0
943,🕙,ten o’clock,0.0
944,🕥,ten-thirty,0.0
945,🕚,eleven o’clock,0.0
946,🕦,eleven-thirty,0.0
947,🌑,new moon,0.0
948,🌒,waxing crescent moon,0.0
949,🌓,first quarter moon,0.0
950,🌔,waxing gibbous moon,0.0
951,🌕,full moon,0.0
952,🌖,waning gibbous moon,0.0
953,🌗,last quarter moon,0.0
954,🌘,waning crescent moon,0.0
955,🌙,crescent moon,0.0
956,🌚,new moon face,0.0
957,🌛,first quarter moon face,0.0
958,🌜,last quarter moon face,0.0
959,🌡,thermometer,0.0
960,☀,sun,0.0
961,🌝,full moon face,0.0
962,🌞,sun with face,0.0
963,🪐,ringed planet,0.0
964,⭐,star,0.0
965,🌟,glowing star,0.0
966,🌠,shooting star,0.0
967,🌌,milky way,0.0
968,☁,cloud,0.0
969,⛅,sun behind cloud,0.0
970,⛈,cloud with lightning and rain,0.0
971,🌤,sun behind small cloud,0.0
972,🌥,sun behind large cloud,0.0
973,🌦,sun behind rain cloud,0.0
974,🌧,cloud with rain,0.0
975,🌨,cloud with snow,0.0
976,🌩,cloud with lightning,0.0
977,🌪,tornado,0.0
978,🌫,fog,0.0
979,🌬,wind face,0.0
980,🌀,cyclone,0.0
981,🌈,rainbow,0.0
982,🌂,closed umbrella,0.0
983,☂,umbrella,0.0
984,☔,umbrella with rain drops,0.0
985,⛱,umbrella on ground,0.0
986,⚡,high voltage,0.0
987,❄,snowflake,0.0
988,☃,snowman,0.0
989,⛄,snowman without snow,0.0
990,☄,comet,0.0
991,🔥,fire,-0.34
992,💧,droplet,0.0
993,🌊,water wave,0.0
994,🎃,jack-o-lantern,0.0
995,🎄,Christmas tree,0.0
996,🎆,fireworks,0.0
997,🎇,sparkler,0.0
998,🧨,firecracker,0.0
999,✨,sparkles,0.32
1000,🎈,balloon,0.0
1001,🎉,party popper,0.4
1002,🎊,confetti ball,0.0
1003,🎋,tanabata tree,0.0
1004,🎍,pine decoration,0.0
1005,🎎,Japanese dolls,0.0
1006,🎏,carp streamer,0.0
1007,🎐,wind chime,0.0
1008,🎑,moon viewing ceremony,0.0
1009,🧧,red envelope,0.0
1010,🎀,ribbon,0.0
1011,🎁,wrapped gift,0.44
1012,🎗,reminder ribbon,0.0
1013,🎟,admission tickets,0.0
1014,🎫,ticket,0.0
1015,🎖,military medal,0.48
1016,🏆,trophy,0.0
1017,🏅,sports medal,0.48
1018,🥇,1st place medal,0.48
1019,🥈,2nd place medal,0.48
1020,🥉,3rd place medal,0.48
1021,⚽,soccer ball,0.0
1022,⚾,baseball,0.0
1023,🥎,softball,0.0
1024,🏀,basketball,0.0
1025,🏐,volleyball,0.0
1026,🏈,american football,0.0
1027,🏉,rugby football,0.0
1028,🎾,tennis,0.0
1029,🥏,flying disc,0.0
1030,🎳,bowling,0.0
1031,🏏,cricket game,0.0
1032,🏑,field hockey,0.0
1033,🏒,ice hockey,0.0
1034,🥍,lacrosse,0.0
1035,🏓,ping pong,0.0
1036,🏸,badminton,0.0
1037,🥊,boxing glove,0.0
1038,🥋,martial arts uniform,0.0
1039,🥅,goal net,0.0
1040,⛳,flag in hole,0.0
1041,⛸,ice skate,0.0
1042,🎣,fishing pole,0.0
1043,🤿,diving mask,0.08
1044,🎽,running shirt,0.0
1045,🎿,skis,0.0
1046,🛷,sled,0.0
1047,🥌,curling stone,0.0
1048,🎯,bullseye,0.0
1049,🪀,yo-yo,0.0
1050,🪁,kite,0.0
1051,🎱,pool 8 ball,0.0
1052,🔮,crystal ball,0.0
1053,🪄,magic wand,0.0
1054,🧿,nazar amulet,0.0
1055,🎮,video game,0.0
1056,🕹,joystick,0.18
1057,🎰,slot machine,0.0
1058,🎲,game die,-0.6
1059,🧩,puzzle piece,0.0
1060,🧸,teddy bear,0.0
1061,🪅,piñata,0.0
1062,🪆,nesting dolls,0.0
1063,♠,spade suit,0.0
1064,♥,heart suit,0.0
1065,♦,diamond suit,0.34
1066,♣,club suit,0.0
1067,♟,chess pawn,0.0
1068,🃏,joker,0.13
1069,🀄,mahjong red dragon,0.0
1070,🎴,flower playing cards,0.2
1071,🎭,performing arts,0.0
1072,🖼,framed picture,0.0
1073,🎨,artist palette,0.0
1074,🧵,thread,0.0
1075,🪡,sewing needle,0.0
1076,🧶,yarn,0.0
1077,🪢,knot,0.0
1078,👓,glasses,0.0
1079,🕶,sunglasses,0.0
1080,🥽,goggles,0.0
1081,🥼,lab coat,0.0
1082,🦺,safety vest,0.42
1083,👔,necktie,0.0
1084,👕,t-shirt,0.0
1085,👖,jeans,0.0
1086,🧣,scarf,0.0
1087,🧤,gloves,0.0
1088,🧥,coat,0.0
1089,🧦,socks,0.0
1090,👗,dress,0.0
1091,👘,kimono,0.0
1092,🥻,sari,0.0
1093,🩱,one-piece swimsuit,0.0
1094,🩲,briefs,0.0
1095,🩳,shorts,0.0
1096,👙,bikini,0.0
1097,👚,woman’s clothes,0.0
1098,👛,purse,0.0
1099,👜,handbag,0.0
1100,👝,clutch bag,0.0
1101,🛍,shopping bags,0.0
1102,🎒,backpack,0.0
1103,🩴,thong sandal,0.0
1104,👞,man’s shoe,0.0
1105,👟,running shoe,0.0
1106,🥾,hiking boot,0.0
1107,🥿,flat shoe,0.0
1108,👠,high-heeled shoe,0.0
1109,👡,woman’s sandal,0.0
1110,🩰,ballet shoes,0.0
1111,👢,woman’s boot,0.0
1112,👑,crown,0.0
1113,👒,woman’s hat,0.0
1114,🎩,top hat,0.2
1115,🎓,graduation cap,0.0
1116,🧢,billed cap,0.0
1117,🪖,military helmet,0.0
1118,⛑,rescue worker’s helmet,0.51
1119,📿,prayer beads,0.0
1120,💄,lipstick,0.0
1121,💍,ring,0.0
1122,💎,gem stone,0.0
1123,🔇,muted speaker,0.0
1124,🔈,speaker low volume,-0.27
1125,🔉,speaker medium volume,0.0
1126,🔊,speaker high volume,0.0
1127,📢,loudspeaker,0.0
1128,📣,megaphone,0.0
1129,📯,postal horn,0.0
1130,🔔,bell,0.0
1131,🔕,bell with slash,-0.27
1132,🎼,musical score,0.0
1133,🎵,musical note,0.0
1134,🎶,musical notes,0.0
1135,🎙,studio microphone,0.0
1136,🎚,level slider,0.0
1137,🎛,control knobs,0.0
1138,🎤,microphone,0.0
1139,🎧,headphone,0.0
1140,📻,radio,0.0
1141,🎷,saxophone,0.0
1142,🪗,accordion,0.0
1143,🎸,guitar,0.0
1144,🎹,musical keyboard,0.0
1145,🎺,trumpet,0.0
1146,🎻,violin,0.0
1147,🪕,banjo,0.0
1148,🥁,drum,0.0
1149,🪘,long drum,0.0
1150,📱,mobile phone,0.0
1151,📲,mobile phone with arrow,0.0
1152,☎,telephone,0.0
1153,📞,telephone receiver,0.0
1154,📟,pager,0.0
1155,📠,fax machine,0.0
1156,🔋,battery,0.0
1157,🔌,electric plug,0.0
1158,💻,laptop,0.0
1159,🖥,desktop computer,0.0
1160,🖨,printer,0.0
1161,⌨,keyboard,0.0
1162,🖱,computer mouse,0.0
1163,🖲,trackball,0.0
1164,💽,computer disk,0.0
1165,💾,floppy disk,0.0
1166,💿,optical disk,0.0
1167,📀,dvd,0.0
1168,🧮,abacus,0.0
1169,🎥,movie camera,0.0
1170,🎞,film frames,0.0
1171,📽,film projector,0.0
1172,🎬,clapper board,0.0
1173,📺,television,0.0
1174,📷,camera,0.0
1175,📸,camera with flash,0.0
1176,📹,video camera,0.0
1177,📼,videocassette,0.0
1178,🔍,magnifying glass tilted left,0.0
1179,🔎,magnifying glass tilted right,0.0
1180,🕯,candle,0.0
1181,💡,light bulb,0.0
1182,🔦,flashlight,0.0
1183,🏮,red paper lantern,0.0
1184,🪔,diya lamp,0.0
1185,📔,notebook with decorative cover,0.0
1186,📕,closed book,0.0
1187,📖,open book,0.0
1188,📗,green book,0.0
1189,📘,blue book,0.0
1190,📙,orange book,0.0
1191,📚,books,0.0
1192,📓,notebook,0.0
1193,📒,ledger,0.0
1194,📃,page with curl,0.0
1195,📜,scroll,0.0
1196,📄,page facing up,0.0
1197,📰,newspaper,0.0
1198,🗞,rolled-up newspaper,0.0
1199,📑,bookmark tabs,0.0
1200,🔖,bookmark,0.0
1201,🏷,label,0.0
1202,💰,money bag,0.0
1203,🪙,coin,0.0
1204,💴,yen banknote,0.0
1205,💵,dollar banknote,0.0
1206,💶,euro banknote,0.0
1207,💷,pound banknote,0.0
1208,💸,money with wings,0.0
1209,💳,credit card,0.38
1210,🧾,receipt,0.0
1211,💹,chart increasing with yen,0.0
1212,✉,envelope,0.0
1213,📧,e-mail,0.0
1214,📨,incoming envelope,0.0
1215,📩,envelope with arrow,0.0
1216,📤,outbox tray,0.0
1217,📥,inbox tray,0.0
1218,📦,package,0.0
1219,📫,closed mailbox with raised flag,0.0
1220,📪,closed mailbox with lowered flag,-0.13
1221,📬,open mailbox with raised flag,0.0
1222,📭,open mailbox with lowered flag,-0.13
1223,📮,postbox,0.0
1224,🗳,ballot box with ballot,0.0
1225,✏,pencil,0.0
1226,✒,black nib,0.0
1227,🖋,fountain pen,0.0
1228,🖊,pen,0.0
1229,🖌,paintbrush,0.0
1230,🖍,crayon,0.0
1231,📝,memo,0.0
1232,💼,briefcase,0.0
1233,📁,file folder,0.0
1234,📂,open file folder,0.0
1235,🗂,card index dividers,0.0
1236,📅,calendar,0.0
1237,📆,tear-off calendar,0.0
1238,🗒,spiral notepad,0.0
1239,🗓,spiral calendar,0.0
1240,📇,card index,0.0
1241,📈,chart increasing,0.0
1242,📉,chart decreasing,0.0
1243,📊,bar chart,0.0
1244,📋,clipboard,0.0
1245,📌,pushpin,0.0
1246,📍,round pushpin,0.0
1247,📎,paperclip,0.0
1248,🖇,linked paperclips,0.0
1249,📏,straight ruler,0.23
1250,📐,triangular ruler,0.0
1251,✂,scissors,0.0
1252,🗃,card file box,0.0
1253,🗄,file cabinet,0.0
1254,🗑,wastebasket,0.0
1255,🔒,locked,0.0
1256,🔓,unlocked,0.0
1257,🔏,locked with pen,0.0
1258,🔐,locked with key,0.0
1259,🔑,key,0.0
1260,🗝,old key,0.0
1261,🔨,hammer,0.0
1262,🪓,axe,-0.1
1263,⛏,pick,0.0
1264,⚒,hammer and pick,0.0
1265,🛠,hammer and wrench,0.0
1266,🗡,dagger,0.0
1267,⚔,crossed swords,0.0
1268,🔫,water pistol,0.0
1269,🪃,boomerang,0.0
1270,🏹,bow and arrow,0.0
1271,🛡,shield,0.0
1272,🪚,carpentry saw,0.0
1273,🔧,wrench,0.0
1274,🪛,screwdriver,0.08
1275,🔩,nut and bolt,0.0
1276,⚙,gear,0.0
1277,🗜,clamp,0.0
1278,⚖,balance scale,0.0
1279,🦯,white cane,0.0
1280,🔗,link,0.0
1281,⛓,chains,0.0
1282,🪝,hook,0.0
1283,🧰,toolbox,0.0
1284,🧲,magnet,0.0
1285,🪜,ladder,0.0
1286,⚗,alembic,0.0
1287,🧪,test tube,0.0
1288,🧫,petri dish,0.0
1289,🧬,dna,0.0
1290,🔬,microscope,0.0
1291,🔭,telescope,0.0
1292,📡,satellite antenna,0.0
1293,💉,syringe,0.0
1294,🩸,drop of blood,-0.27
1295,💊,pill,0.0
1296,🩹,adhesive bandage,0.0
1297,🩺,stethoscope,0.0
1298,🚪,door,0.0
1299,🛗,elevator,0.0
1300,🪞,mirror,0.0
1301,🪟,window,0.0
1302,🛏,bed,0.0
1303,🛋,couch and lamp,0.0
1304,🪑,chair,0.0
1305,🚽,toilet,0.0
1306,🪠,plunger,0.0
1307,🚿,shower,0.0
1308,🛁,bathtub,0.0
1309,🪤,mouse trap,-0.32
1310,🪒,razor,0.0
1311,🧴,lotion bottle,0.0
1312,🧷,safety pin,0.42
1313,🧹,broom,0.0
1314,🧺,basket,0.0
1315,🧻,roll of paper,0.0
1316,🪣,bucket,0.0
1317,🧼,soap,0.0
1318,🪥,toothbrush,0.0
1319,🧽,sponge,0.0
1320,🧯,fire extinguisher,-0.34
1321,🛒,shopping cart,0.0
1322,🚬,cigarette,0.0
1323,⚰,coffin,0.0
1324,🪦,headstone,0.0
1325,⚱,funeral urn,-0.36
1326,🗿,moai,0.0
1327,🪧,placard,0.0
1328,🏧,ATM sign,0.0
1329,🚮,litter in bin sign,0.0
1330,🚰,potable water,0.0
1331,♿,wheelchair symbol,0.0
1332,🚹,men’s room,0.0
1333,🚺,women’s room,0.0
1334,🚻,restroom,0.0
1335,🚼,baby symbol,0.0
1336,🚾,water closet,0.0
1337,🛂,passport control,0.0
1338,🛃,customs,0.0
1339,🛄,baggage claim,0.0
1340,🛅,left luggage,0.0
1341,⚠,warning,-0.34
1342,🚸,children crossing,0.0
1343,⛔,no entry,-0.3
1344,🚫,prohibited,0.0
1345,🚳,no bicycles,-0.3
1346,🚭,no smoking,-0.3
1347,🚯,no littering,-0.3
1348,🚱,non-potable water,0.0
1349,🚷,no pedestrians,-0.3
1350,📵,no mobile phones,-0.3
1351,🔞,no one under eighteen,-0.3
1352,☢,radioactive,0.0
1353,☣,biohazard,0.0
1354,⬆,up arrow,0.0
1355,↗,up-right arrow,0.0
1356,➡,right arrow,0.0
1357,↘,down-right arrow,0.0
1358,⬇,down arrow,0.0
1359,↙,down-left arrow,0.0
1360,⬅,left arrow,0.0
1361,↖,up-left arrow,0.0
1362,↕,up-down arrow,0.0
1363,↔,left-right arrow,0.0
1364,↩,right arrow curving left,0.0
1365,↪,left arrow curving right,0.0
1366,⤴,right arrow curving up,0.0
1367,⤵,right arrow curving down,0.0
1368,🔃,clockwise vertical arrows,0.0
1369,🔄,counterclockwise arrows button,0.0
1370,🔙,BACK arrow,0.0
1371,🔚,END arrow,0.0
1372,🔛,ON! arrow,0.0
1373,🔜,SOON arrow,0.0
1374,🔝,TOP arrow,0.37
1375,🛐,place of worship,0.3
1376,⚛,atom symbol,0.0
1377,🕉,om,0.0
1378,✡,star of David,0.0
1379,☸,wheel of dharma,0.0
1380,☯,yin yang,0.0
1381,✝,latin cross,0.0
1382,☦,orthodox cross,0.0
1383,☪,star and crescent,0.0
1384,☮,peace symbol,0.54
1385,🕎,menorah,0.0
1386,🔯,dotted six-pointed star,0.0
1387,♈,Aries,0.0
1388,♉,Taurus,0.0
1389,♊,Gemini,0.0
1390,♋,Cancer,-0.66
1391,♌,Leo,0.0
1392,♍,Virgo,0.0
1393,♎,Libra,0.0
1394,♏,Scorpio,0.0
1395,♐,Sagittarius,0.0
1396,♑,Capricorn,0.0
1397,♒,Aquarius,0.0
1398,♓,Pisces,0.0
1399,⛎,Ophiuchus,0.0
1400,🔀,shuffle tracks button,0.0
1401,🔁,repeat button,0.0
1402,🔂,repeat single button,0.0
1403,▶,play button,0.34
1404,⏩,fast-forward button,0.0
1405,⏭,next track button,0.0
1406,⏯,play or pause button,0.34
1407,◀,reverse button,0.0
1408,⏪,fast reverse button,0.0
1409,⏮,last track button,0.0
1410,🔼,upwards button,0.0
1411,⏫,fast up button,0.0
1412,🔽,downwards button,0.0
1413,⏬,fast down button,0.0
1414,⏸,pause button,0.0
1415,⏹,stop button,-0.3
1416,⏺,record button,0.0
1417,⏏,eject button,0.0
1418,🎦,cinema,0.0
1419,🔅,dim button,0.0
1420,🔆,bright button,0.44
1421,📶,antenna bars,0.0
1422,📳,vibration mode,0.0
1423,📴,mobile phone off,0.0
1424,♀,female sign,0.0
1425,♂,male sign,0.0
1426,⚧,transgender symbol,0.0
1427,✖,multiply,0.0
1428,➕,plus,0.0
1429,➖,minus,0.0
1430,➗,divide,0.0
1431,♾,infinity,0.0
1432,‼,double exclamation mark,0.0
1433,⁉,exclamation question mark,0.0
1434,❓,red question mark,0.0
1435,❔,white question mark,0.0
1436,❕,white exclamation mark,0.0
1437,❗,red exclamation mark,0.0
1438,〰,wavy dash,0.0
1439,💱,currency exchange,0.0
1440,💲,heavy dollar sign,0.0
1441,⚕,medical symbol,0.0
1442,♻,recycling symbol,0.0
1443,⚜,fleur-de-lis,0.0
1444,🔱,trident emblem,0.0
1445,📛,name badge,0.0
1446,🔰,Japanese symbol for beginner,0.0
1447,⭕,hollow red circle,0.0
1448,✅,check mark button,0.0
1449,☑,check box with check,0.0
1450,✔,check mark,0.0
1451,❌,cross mark,0.0
1452,❎,cross mark button,0.0
1453,➰,curly loop,0.0
1454,➿,double curly loop,0.0
1455,〽,part alternation mark,0.0
1456,✳,eight-spoked asterisk,0.0
1457,✴,eight-pointed star,0.0
1458,❇,sparkle,0.42
1459,©,copyright,0.0
1460,®,registered,0.0
1461,™,trade mark,0.0
1462,#️⃣,keycap: #,0.0
1463,*️⃣,keycap: *,0.0
1464,0️⃣,keycap: 0,0.0
1465,1️⃣,keycap: 1,0.0
1466,2️⃣,keycap: 2,0.0
1467,3️⃣,keycap: 3,0.0
1468,4️⃣,keycap: 4,0.0
1469,5️⃣,keycap: 5,0.0
1470,6️⃣,keycap: 6,0.0
1471,7️⃣,keycap: 7,0.0
1472,8️⃣,keycap: 8,0.0
1473,9️⃣,keycap: 9,0.0
1474,🔟,keycap: 10,0.0
1475,🔠,input latin uppercase,0.0
1476,🔡,input latin lowercase,0.08
1477,🔢,input numbers,0.0
1478,🔣,input symbols,0.0
1479,🔤,input latin letters,0.0
1480,🅰,A button (blood type),0.0
1481,🆎,AB button (blood type),0.0
1482,🅱,B button (blood type),0.0
1483,🆑,CL button,0.0
1484,🆒,COOL button,0.46
1485,🆓,FREE button,0.62
1486,ℹ,information,0.0
1487,🆔,ID button,0.0
1488,Ⓜ,circled M,0.0
1489,🆕,NEW button,0.0
1490,🆖,NG button,0.0
1491,🅾,O button (blood type),0.0
1492,🆗,OK button,0.45
1493,🅿,P button,0.0
1494,🆘,SOS button,0.0
1495,🆙,UP! button,0.0
1496,🆚,VS button,0.0
1497,🈁,Japanese “here” button,0.0
1498,🈂,Japanese “service charge” button,0.0
1499,🈷,Japanese “monthly amount” button,0.0
1500,🈶,Japanese “not free of charge” button,0.51
1501,🈯,Japanese “reserved” button,0.0
1502,🉐,Japanese “bargain” button,0.0
1503,🈹,Japanese “discount” button,0.0
1504,🈚,Japanese “free of charge” button,0.0
1505,🈲,Japanese “prohibited” button,0.0
1506,🉑,Japanese “acceptable” button,0.0
1507,🈸,Japanese “application” button,0.0
1508,🈴,Japanese “passing grade” button,0.0
1509,🈳,Japanese “vacancy” button,0.0
1510,㊗,Japanese “congratulations” button,0.0
1511,㊙,Japanese “secret” button,0.0
1512,🈺,Japanese “open for business” button,0.0
1513,🈵,Japanese “no vacancy” button,0.0
1514,🔴,red circle,0.0
1515,🟠,orange circle,0.0
1516,🟡,yellow circle,0.0
1517,🟢,green circle,0.0
1518,🔵,blue circle,0.0
1519,🟣,purple circle,0.0
1520,🟤,brown circle,0.0
1521,⚫,black circle,0.0
1522,⚪,white circle,0.0
1523,🟥,red square,0.0
1524,🟧,orange square,0.0
1525,🟨,yellow square,0.0
1526,🟩,green square,0.0
1527,🟦,blue square,0.0
1528,🟪,purple square,0.0
1529,🟫,brown square,0.0
1530,⬛,black large square,0.0
1531,⬜,white large square,0.0
1532,◼,black medium square,0.0
1533,◻,white medium square,0.0
1534,◾,black medium-small square,0.0
1535,◽,white medium-small square,0.0
1536,▪,black small square,0.0
1537,▫,white small square,0.0
1538,🔶,large orange diamond,0.34
1539,🔷,large blue diamond,0.34
1540,🔸,small orange diamond,0.34
1541,🔹,small blue diamond,0.34
1542,🔺,red triangle pointed up,0.0
1543,🔻,red triangle pointed down,0.0
1544,💠,diamond with a dot,0.34
1545,🔘,radio button,0.0
1546,🔳,white square button,0.0
1547,🔲,black square button,0.0
1548,🏁,chequered flag,0.0
1549,🚩,triangular flag,0.0
1550,🎌,crossed flags,0.0
1551,🏴,black flag,0.0
1552,🏳,white flag,0.0
1553,🏳️‍🌈,rainbow flag,0.0
1554,🏳️‍⚧️,transgender flag,0.0
1555,🏴‍☠️,pirate flag,0.0
1556,🇦🇨,flag: Ascension Island,0.0
1557,🇦🇩,flag: Andorra,0.0
1558,🇦🇪,flag: United Arab Emirates,0.42
1559,🇦🇫,flag: Afghanistan,0.0
1560,🇦🇬,flag: Antigua & Barbuda,0.0
1561,🇦🇮,flag: Anguilla,0.0
1562,🇦🇱,flag: Albania,0.0
1563,🇦🇲,flag: Armenia,0.0
1564,🇦🇴,flag: Angola,0.0
1565,🇦🇶,flag: Antarctica,0.0
1566,🇦🇷,flag: Argentina,0.0
1567,🇦🇸,flag: American Samoa,0.0
1568,🇦🇹,flag: Austria,0.0
1569,🇦🇺,flag: Australia,0.0
1570,🇦🇼,flag: Aruba,0.0
1571,🇦🇽,flag: Åland Islands,0.0
1572,🇦🇿,flag: Azerbaijan,0.0
1573,🇧🇦,flag: Bosnia & Herzegovina,0.0
1574,🇧🇧,flag: Barbados,0.0
1575,🇧🇩,flag: Bangladesh,0.0
1576,🇧🇪,flag: Belgium,0.0
1577,🇧🇫,flag: Burkina Faso,0.0
1578,🇧🇬,flag: Bulgaria,0.0
1579,🇧🇭,flag: Bahrain,0.0
1580,🇧🇮,flag: Burundi,0.0
1581,🇧🇯,flag: Benin,0.0
1582,🇧🇱,flag: St. Barthélemy,0.0
1583,🇧🇲,flag: Bermuda,0.0
1584,🇧🇳,flag: Brunei,0.0
1585,🇧🇴,flag: Bolivia,0.0
1586,🇧🇶,flag: Caribbean Netherlands,0.0
1587,🇧🇷,flag: Brazil,0.0
1588,🇧🇸,flag: Bahamas,0.0
1589,🇧🇹,flag: Bhutan,0.0
1590,🇧🇻,flag: Bouvet Island,0.0
1591,🇧🇼,flag: Botswana,0.0
1592,🇧🇾,flag: Belarus,0.0
1593,🇧🇿,flag: Belize,0.0
1594,🇨🇦,flag: Canada,0.0
1595,🇨🇨,flag: Cocos (Keeling) Islands,0.0
1596,🇨🇩,flag: Congo - Kinshasa,0.0
1597,🇨🇫,flag: Central African Republic,0.0
1598,🇨🇬,flag: Congo - Brazzaville,0.0
1599,🇨🇭,flag: Switzerland,0.0
1600,🇨🇮,flag: Côte d’Ivoire,0.0
1601,🇨🇰,flag: Cook Islands,0.0
1602,🇨🇱,flag: Chile,0.0
1603,🇨🇲,flag: Cameroon,0.0
1604,🇨🇳,flag: China,0.0
1605,🇨🇴,flag: Colombia,0.0
1606,🇨🇵,flag: Clipperton Island,0.0
1607,🇨🇷,flag: Costa Rica,0.0
1608,🇨🇺,flag: Cuba,0.0
1609,🇨🇻,flag: Cape Verde,0.0
1610,🇨🇼,flag: Curaçao,0.0
1611,🇨🇽,flag: Christmas Island,0.0
1612,🇨🇾,flag: Cyprus,0.0
1613,🇨🇿,flag: Czechia,0.0
1614,🇩🇪,flag: Germany,0.0
1615,🇩🇬,flag: Diego Garcia,0.0
1616,🇩🇯,flag: Djibouti,0.0
1617,🇩🇰,flag: Denmark,0.0
1618,🇩🇲,flag: Dominica,0.0
1619,🇩🇴,flag: Dominican Republic,0.0
1620,🇩🇿,flag: Algeria,0.0
1621,🇪🇦,flag: Ceuta & Melilla,0.0
1622,🇪🇨,flag: Ecuador,0.0
1623,🇪🇪,flag: Estonia,0.0
1624,🇪🇬,flag: Egypt,0.0
1625,🇪🇭,flag: Western Sahara,0.0
1626,🇪🇷,flag: Eritrea,0.0
1627,🇪🇸,flag: Spain,0.0
1628,🇪🇹,flag: Ethiopia,0.0
1629,🇪🇺,flag: European Union,0.0
1630,🇫🇮,flag: Finland,0.0
1631,🇫🇯,flag: Fiji,0.0
1632,🇫🇰,flag: Falkland Islands,0.0
1633,🇫🇲,flag: Micronesia,0.0
1634,🇫🇴,flag: Faroe Islands,0.0
1635,🇫🇷,flag: France,0.0
1636,🇬🇦,flag: Gabon,0.0
1637,🇬🇧,flag: United Kingdom,0.42
1638,🇬🇩,flag: Grenada,0.0
1639,🇬🇪,flag: Georgia,0.0
1640,🇬🇫,flag: French Guiana,0.0
1641,🇬🇬,flag: Guernsey,0.0
1642,🇬🇭,flag: Ghana,0.0
1643,🇬🇮,flag: Gibraltar,0.0
1644,🇬🇱,flag: Greenland,0.0
1645,🇬🇲,flag: Gambia,0.0
1646,🇬🇳,flag: Guinea,0.0
1647,🇬🇵,flag: Guadeloupe,0.0
1648,🇬🇶,flag: Equatorial Guinea,0.0
1649,🇬🇷,flag: Greece,0.0
